Date,Id,Status,pretTotal,produseComanda[0].Id,produseComanda[0].ComandaId,produseComanda[0].ProductId,produseComanda[0].quantity
5/25/2023 2:11:46 PM,1,New,20,1,1,1,1
5/25/2023 2:16:41 PM,2,New,20,2,2,1,1
5/25/2023 2:16:41 PM,3,New,13,3,3,2,1,4,3,3,1
5/25/2023 8:22:00 PM,4,New,23,5,4,2,1,6,4,4,1
5/25/2023 8:29:00 PM,5,New,23,7,5,2,5,8,5,1,1,9,5,2,1,10,5,4,1,11,5,1,1,12,5,4,3
5/25/2023 2:39:51 PM,6,string,100,13,6,1,5
5/25/2023 7:31:57 PM,8,New,70,17,8,1,2,18,8,3,3,19,8,4,1
5/25/2023 8:19:53 PM,9,New,0,20,9,3,0,21,9,4,0
5/25/2023 8:20:16 PM,10,New,20,22,10,3,1,23,10,4,1
5/25/2023 8:21:37 PM,11,New,20,24,11,3,1,25,11,4,1
pizza,1,5,20,11,0
legume mexicane,2,10,8,8,1
gratar de pui,4,20,15,8,2
ciorba ardeleneasca,3,15,5,6,3
